Episode,ClassId,SurvivalTime,DamageTaken,AvgDistance,IsWin,SkillId,CastCount,HitCount,TotalDamage,ChargeAttempt,ChargeSuccess,CcAttempt,CcSuccess
1,0,31.94,210.00,4.85,0,3,6,0,0.00,6,5,6,0
1,0,31.94,210.00,4.85,0,6,5,1,50.00,5,5,5,1
1,0,31.94,210.00,4.85,0,2,11,1,10.00,0,0,0,0
1,0,31.94,210.00,4.85,0,1,27,2,40.00,0,0,0,0
1,1,31.92,100.00,4.85,1,12,3,2,120.00,3,3,3,2
1,1,31.92,100.00,4.85,1,8,6,0,0.00,0,0,0,0
1,1,31.92,100.00,4.85,1,9,5,0,0.00,5,5,5,0
1,1,31.92,100.00,4.85,1,7,17,6,30.00,0,0,0,0
2,0,29.72,95.00,3.79,1,1,28,3,60.00,0,0,0,0
2,0,29.72,95.00,3.79,1,6,4,2,100.00,4,4,4,2
2,0,29.72,95.00,3.79,1,3,6,0,0.00,6,6,6,0
2,0,29.72,95.00,3.79,1,2,11,2,20.00,0,0,0,0
2,1,29.72,200.00,3.79,0,12,2,1,60.00,2,1,2,1
2,1,29.72,200.00,3.79,0,7,17,7,35.00,0,0,0,0
2,1,29.72,200.00,3.79,0,8,6,0,0.00,0,0,0,0
2,1,29.72,200.00,3.79,0,9,6,0,0.00,6,6,6,0
3,0,31.58,135.00,3.88,1,6,5,2,100.00,5,5,5,2
3,0,31.58,135.00,3.88,1,1,30,2,40.00,0,0,0,0
3,0,31.58,135.00,3.88,1,3,6,0,0.00,6,6,6,0
3,0,31.58,135.00,3.88,1,2,10,2,20.00,0,0,0,0
3,1,31.58,210.00,3.88,0,7,19,9,45.00,0,0,0,0
3,1,31.58,210.00,3.88,0,12,3,1,60.00,3,1,3,1
3,1,31.58,210.00,3.88,0,8,6,0,0.00,0,0,0,0
3,1,31.58,210.00,3.88,0,9,6,1,30.00,6,5,6,1
4,0,43.98,205.00,8.25,0,2,14,0,0.00,0,0,0,0
4,0,43.98,205.00,8.25,0,6,6,0,0.00,6,6,6,0
4,0,43.98,205.00,8.25,0,3,9,0,0.00,9,9,9,0
4,0,43.98,205.00,8.25,0,1,38,0,0.00,0,0,0,0
4,1,43.98,80.00,8.25,1,7,28,1,5.00,0,0,0,0
4,1,43.98,80.00,8.25,1,8,9,0,0.00,0,0,0,0
4,1,43.98,80.00,8.25,1,12,3,2,120.00,3,3,3,2
4,1,43.98,80.00,8.25,1,9,8,0,0.00,8,8,8,0
5,0,33.98,210.00,5.18,0,6,5,2,100.00,5,5,5,2
5,0,33.98,210.00,5.18,0,3,6,0,0.00,6,6,6,0
5,0,33.98,210.00,5.18,0,1,31,2,40.00,0,0,0,0
5,0,33.98,210.00,5.18,0,2,12,1,10.00,0,0,0,0
5,1,33.96,150.00,5.19,1,12,3,2,120.00,3,2,3,2
5,1,33.96,150.00,5.19,1,9,7,1,30.00,7,7,7,1
5,1,33.96,150.00,5.19,1,8,6,0,0.00,0,0,0,0
5,1,33.96,150.00,5.19,1,7,18,6,30.00,0,0,0,0
6,0,35.14,230.00,4.91,0,1,33,2,40.00,0,0,0,0
6,0,35.14,230.00,4.91,0,6,5,2,100.00,5,5,5,2
6,0,35.14,230.00,4.91,0,3,7,1,30.00,7,7,7,1
6,0,35.14,230.00,4.91,0,2,11,0,0.00,0,0,0,0
6,1,35.12,170.00,4.91,1,8,7,0,0.00,0,0,0,0
6,1,35.12,170.00,4.91,1,7,21,10,50.00,0,0,0,0
6,1,35.12,170.00,4.91,1,9,7,0,0.00,7,6,7,0
6,1,35.12,170.00,4.91,1,12,3,2,120.00,3,3,3,2
7,0,18.42,35.00,3.66,1,3,4,1,30.00,4,4,4,1
7,0,18.42,35.00,3.66,1,6,3,2,100.00,3,3,3,2
7,0,18.42,35.00,3.66,1,1,20,2,40.00,0,0,0,0
7,0,18.42,35.00,3.66,1,2,6,1,10.00,0,0,0,0
7,1,18.42,200.00,3.66,0,8,4,0,0.00,0,0,0,0
7,1,18.42,200.00,3.66,0,7,13,7,35.00,0,0,0,0
7,1,18.42,200.00,3.66,0,9,4,0,0.00,4,4,4,0
7,1,18.42,200.00,3.66,0,12,2,0,0.00,2,1,2,0
8,0,38.72,190.00,4.85,1,6,5,2,100.00,5,4,5,2
8,0,38.72,190.00,4.85,1,3,7,1,30.00,7,7,7,1
8,0,38.72,190.00,4.85,1,2,14,1,10.00,0,0,0,0
8,0,38.72,190.00,4.85,1,1,43,2,40.00,0,0,0,0
8,1,38.72,200.00,4.85,0,8,7,0,0.00,0,0,0,0
8,1,38.72,200.00,4.85,0,7,26,8,40.00,0,0,0,0
8,1,38.72,200.00,4.85,0,9,7,1,30.00,7,6,7,1
8,1,38.72,200.00,4.85,0,12,3,2,120.00,3,2,3,2
9,0,16.70,70.00,3.15,1,1,17,4,80.00,0,0,0,0
9,0,16.70,70.00,3.15,1,2,6,2,20.00,0,0,0,0
9,0,16.70,70.00,3.15,1,3,4,1,30.00,4,4,4,1
9,0,16.70,70.00,3.15,1,6,3,1,50.00,3,3,3,1
9,1,16.70,230.00,3.15,0,12,2,0,0.00,2,0,2,0
9,1,16.70,230.00,3.15,0,8,3,0,0.00,0,0,0,0
9,1,16.70,230.00,3.15,0,7,9,8,40.00,0,0,0,0
9,1,16.70,230.00,3.15,0,9,3,1,30.00,3,3,3,1
10,0,17.16,105.00,2.99,1,6,3,2,100.00,3,3,3,2
10,0,17.16,105.00,2.99,1,2,6,1,10.00,0,0,0,0
10,0,17.16,105.00,2.99,1,1,16,4,80.00,0,0,0,0
10,0,17.16,105.00,2.99,1,3,4,0,0.00,4,4,4,0
10,1,17.16,220.00,2.99,0,7,11,9,45.00,0,0,0,0
10,1,17.16,220.00,2.99,0,9,4,0,0.00,4,3,4,0
10,1,17.16,220.00,2.99,0,12,2,1,60.00,2,1,2,1
10,1,17.16,220.00,2.99,0,8,3,0,0.00,0,0,0,0
11,0,37.52,150.00,4.89,1,3,7,1,30.00,7,7,7,1
11,0,37.52,150.00,4.89,1,1,35,2,40.00,0,0,0,0
11,0,37.52,150.00,4.89,1,6,5,2,100.00,5,5,5,2
11,0,37.52,150.00,4.89,1,2,14,2,20.00,0,0,0,0
11,1,37.52,200.00,4.89,0,8,7,0,0.00,0,0,0,0
11,1,37.52,200.00,4.89,0,9,7,0,0.00,7,7,7,0
11,1,37.52,200.00,4.89,0,7,21,6,30.00,0,0,0,0
11,1,37.52,200.00,4.89,0,12,3,2,120.00,3,2,3,2
12,0,16.02,35.00,2.73,1,6,3,2,100.00,3,3,3,2
12,0,16.02,35.00,2.73,1,1,17,3,60.00,0,0,0,0
12,0,16.02,35.00,2.73,1,3,3,0,0.00,3,3,3,0
12,0,16.02,35.00,2.73,1,2,5,2,20.00,0,0,0,0
12,1,16.02,200.00,2.73,0,7,10,7,35.00,0,0,0,0
12,1,16.02,200.00,2.73,0,8,3,0,0.00,0,0,0,0
12,1,16.02,200.00,2.73,0,9,3,0,0.00,3,3,3,0
12,1,16.02,200.00,2.73,0,12,2,0,0.00,2,1,2,0
13,0,43.06,200.00,7.34,0,6,6,1,50.00,6,6,6,1
13,0,43.06,200.00,7.34,0,3,8,1,30.00,8,8,8,1
13,0,43.06,200.00,7.34,0,1,37,0,0.00,0,0,0,0
13,0,43.06,200.00,7.34,0,2,14,1,10.00,0,0,0,0
13,1,43.06,150.00,7.34,1,12,3,2,120.00,3,3,3,2
13,1,43.06,150.00,7.34,1,7,30,3,15.00,0,0,0,0
13,1,43.06,150.00,7.34,1,8,8,0,0.00,0,0,0,0
13,1,43.06,150.00,7.34,1,9,8,0,0.00,8,8,8,0
14,0,33.24,215.00,6.35,0,2,12,0,0.00,0,0,0,0
14,0,33.24,215.00,6.35,0,3,6,0,0.00,6,6,6,0
